2017S004345    ,Sant Martí,el Camp de l'Arpa del Clot,València                                          ,Tuesday,May,Morning,1
2017S000869    ,Sant Martí,el Camp de l'Arpa del Clot,AV MERIDIANA                                      ,Wednesday,February,Afternoon,1
2017S001562    ,Sant Martí,el Camp de l'Arpa del Clot,AV MERIDIANA                                      ,Saturday,February,Morning,1
2017S009772    ,Sant Martí,el Camp de l'Arpa del Clot,Meridiana / València                              ,Friday,November,Morning,2
2017S007600    ,Sant Martí,el Clot,Bilbao / Aragó                                    ,Wednesday,September,Night,1
2017S000137    ,Sant Martí,el Clot,ARAGÓ                                             ,Friday,January,Night,1
2017S008267    ,Sant Martí,el Clot,Corts Catalanes / Poblenou                        ,Friday,October,Afternoon,1
2017S007951    ,Sant Martí,el Clot,Concili de Trento / Lope de Vega                  ,Tuesday,September,Morning,1
2017S006854    ,Sant Martí,el Clot,Aragó / Las Navas de Tolosa                       ,Tuesday,August,Night,1
2017S006079    ,Sant Martí,el Clot,València                                          ,Wednesday,July,Afternoon,1
2017S004641    ,Sant Martí,el Clot,Lope de Vega / Concili de Trento                  ,Friday,May,Morning,1
2017S003623    ,Sant Martí,el Clot,Meridiana / Trinxant                              ,Sunday,April,Morning,1
2017S008103    ,Sant Martí,el Clot,Las Navas de Tolosa / Múrcia                      ,Sunday,October,Afternoon,2
2017S003940    ,Sant Martí,el Clot,Bilbao                                            ,Thursday,May,Morning,1
2017S006732    ,Sant Martí,la Verneda i la Pau,Concili de Trento / Extremadura                   ,Wednesday,August,Morning,1
2017S003914    ,Sant Martí,el Besòs i el Maresme,Litoral (Llobregat)                               ,Wednesday,May,Morning,4
2017S001257    ,Sant Martí,la Verneda i la Pau,RBLA PRIM / Rbla Guipúscoa                        ,Wednesday,February,Night,1
2017S010414    ,Sant Martí,el Besòs i el Maresme,Eduard Maristany                                  ,Saturday,December,Afternoon,1
2017S003078    ,Sant Martí,el Besòs i el Maresme,Prim                                              ,Monday,April,Afternoon,0
2017S010707    ,Sant Martí,Sant Martí de Provençals,Guipúscoa / Agricultura                           ,Wednesday,December,Afternoon,2
2017S009012    ,Sant Martí,Sant Martí de Provençals,Cantàbria / Concili de Trento                     ,Tuesday,October,Afternoon,1
2017S005997    ,Sant Martí,la Verneda i la Pau,Guipúscoa                                         ,Monday,July,Afternoon,2
2017S005176    ,Sant Martí,la Verneda i la Pau,Santander / Ca n'Oliva                            ,Tuesday,June,Afternoon,1
2017S000123    ,Sant Martí,la Verneda i la Pau,SANTANDER                                         ,Thursday,January,Afternoon,2
2017S005072    ,Sant Martí,la Verneda i la Pau,Santander                                         ,Friday,June,Afternoon,1
2017S007144    ,Sant Martí,la Verneda i la Pau,Guipúscoa                                         ,Wednesday,August,Afternoon,1
2017S000944    ,Sant Martí,Sant Martí de Provençals,CANTÀBRIA                                         ,Friday,February,Afternoon,1
2017S000612    ,Sant Martí,la Verneda i la Pau,CANTÀBRIA                                         ,Monday,January,Afternoon,1
2017S002424    ,Sant Martí,la Verneda i la Pau,SANTANDER                                         ,Sunday,March,Morning,1
2017S008874    ,Sant Martí,Provençals del Poblenou,Diagonal / Bac de Roda                            ,Thursday,October,Afternoon,1
2017S003235    ,Sant Martí,el Besòs i el Maresme,Prim                                              ,Friday,April,Afternoon,0
2017S006914    ,Sant Martí,el Besòs i el Maresme,Prim / Pujades                                    ,Friday,August,Afternoon,1
2017S001120    ,Sant Martí,Provençals del Poblenou,PERE IV                                           ,Friday,February,Morning,2
2017S004843    ,Sant Martí,el Besòs i el Maresme,Llull                                             ,Friday,June,Morning,1
2017S002075    ,Sant Martí,Provençals del Poblenou,SELVA DE MAR / Veneçuela                          ,Wednesday,March,Morning,2
2017S008856    ,Sant Martí,Provençals del Poblenou,Diagonal / Bac de Roda                            ,Thursday,October,Morning,1
2017S004209    ,Sant Martí,el Besòs i el Maresme,Maresme / Bolívia                                 ,Friday,May,Night,2
